country,elements
Madagascar,"Chromium"
United States,"Uranium,Vanadium,Gold,Zinc,Silver,Lead,Copper,Molybdenum,Tungsten,Potassium,Aluminum,Tin,Tantalum,Niobium (Columbium),Lithium,Bentonite,Cobalt,Nickel,Kaolin,Volcanic Materials,Sand and Gravel,Construction,Iron,Stone,Dimension,Limestone,General,Phosphorus-Phosphates,Bromine,Magnesite,Perlite,Mercury,Arsenic,Carbon Dioxide,Crushed/Broken,Clay,Gemstone,Quartz,Beryllium,Cement Rock,Halite,Dolomite,Boron-Borates,Garnet,Wollastonite,Sulfur,Petroleum (Oil),Talc-Soapstone,Diatomite,Antimony,Barium-Barite,Semiprecious Gemstone,Gypsum-Anhydrite,Manganese,Kyanite,Zirconium,Titanium,Metal,Fluorine-Fluorite,Pumice,REE,Oil Sands,Marble,Vermiculite,Granite,Asbestos,Soda Ash,Sodium Carbonate,Graphite,Peat,Silica,Mica,Platinum,Brick Clay,Titanium-Ilmenite,High Calcium,Zeolites,Palladium,Chromium,Fullers Earth,Bloating Material"
Sierra Leone,"Titanium"
Uzbekistan,"Gold"
South Africa,"Gold,Rhodium,Palladium,Platinum,PGE,Copper,Nickel,Osmium,Iridium,Ruthenium,Vermiculite,Iron,Uranium,Zinc,Diamond,Manganese,Phosphorus-Phosphates,Chromium,Fluorine-Fluorite,Asbestos,Sulfur-Pyrite,Silver,Antimony"
Saudi Arabia,"Iron"
Russia,"Iron,Titanium,Metal,Vanadium,Phosphorus-Phosphates,Gold,Lead,Zinc,Copper,Tungsten,Antimony"
Zimbabwe,"Copper,Gold,Chromium,Tin"
Germany,"Zinc,Barium-Barite,Fluorine-Fluorite"
Egypt,"Clay,Gypsum-Anhydrite,Iron,Phosphorus-Phosphates"
Argentina,"Iron,Silver,Lead,Zinc,Gold,Limestone,General,Dolomite,Boron-Borates,Lithium,Potassium,Copper"
Algeria,"Iron"
Swaziland,"Asbestos"
Namibia,"Tungsten,Tin,Uranium,Lead,Zinc,Copper,Vanadium"
Italy,"Zinc,Lead"
Guyana,"Aluminum"
Poland,"Lead,Zinc,Sulfur"
Western Sahara,"Phosphorus-Phosphates"
Mexico,"Copper,Silver,Zinc,Gypsum-Anhydrite,Molybdenum,Lead,Fluorine-Fluorite,Iron,Gold"
Venezuela,"Iron,Gold,Diamond,Copper"
Malaysia,"Copper"
Papua New Guinea,"Gold,Silver"
Mauritania,"Iron"
Philippines,"Copper,Gold,Silver,Mercury,Cobalt,Nickel"
Costa Rica,"Volcanic Materials,Stone,Crushed/Broken"
Bolivia,"Tungsten,Tin,Lithium,Halite"
Liberia,"Iron"
Cuba,"Manganese,Chromium,Nickel"
Suriname,"Aluminum"
India,"Manganese,Zinc,Lead,Copper"
Turkey,"Chromium,Phosphorus-Phosphates,Tungsten,Copper,Iron,Boron-Borates"
Jordan,"Phosphorus-Phosphates"
China,"Manganese,Iron"
Kazakhstan,"Boron-Borates,Gold"
Senegal,"Phosphorus-Phosphates"
Ecuador,"Gold"
France,"Gold,Silver,Bismuth,Fluorine-Fluorite"
Japan,"Zinc,Copper,Lead,Silver"
Guinea,"Aluminum"
Canada,"Copper,Gold,Silver,Platinum,Nickel,Fluorine-Fluorite"
Ireland,"Zinc,Lead,Silver"
Greece,"Sulfur-Pyrite,Lead,Zinc"
Brazil,"Gold,Palladium,Platinum,Limestone,High Calcium,Iron,Phosphorus-Phosphates,General,Niobium (Columbium),Titanium,Metal,Copper,Tin,Aluminum"
Chile,"Copper,Molybdenum,Lithium,Potassium,Silver"
Botswana,"Diamond"
Sweden,"Copper,Iron,Phosphorus-Phosphates"
Spain,"Lead,Zinc,Sulfur-Pyrite,Silver,Copper,Fluorine-Fluorite"
Australia,"Gold,Zinc,Lead,Silver,Copper,Titanium,Metal,Zirconium,Aluminum,Iron,Phosphorus-Phosphates,Diamond,Nickel"
Colombia,"Gemstone,Iron"
Morocco,"Phosphorus-Phosphates"
Peru,"Silver,Copper,Gold,Lead,Zinc,Clay,Gypsum-Anhydrite,Talc-Soapstone,Molybdenum,Iron,Phosphorus-Phosphates"
Dominican Republic,"Gold,Silver"
