country,ores
United States,"Chalcopyrite,Galena,Gold,Molybdenite,Orpiment,Realgar,Sphalerite,Tetrahedrite,Bornite,Chalcocite,Covellite,Enargite,Tennantite,Carnotite,Uraninite,Coffinite,Scheelite,Limestone,Cerargyrite,Pyrite,Stephanite,Alunite,Acanthite,Malachite,Marcasite,Silver,Argentite,Freibergite,Plumbojarosite,Polybasite,Proustite,Spodumene,Bentonite,Cerussite,Smithsonite,Calamine,Quartz,Siderite,Anglesite,Specularite,Basalt,Cinders,Pumice,Scoria,Hematite,Magnetite,Gravel,Sand,Quartzite,Rhodochrosite,Apatite,Bindheimite,Brochantite,Chrysocolla,Limonite,Brine,Carnallite,Halite,Sylvite,Sand and Gravel,Chalcanthite,Copper,Cuprite,Fluorite,Libethenite,Tenorite,Torbernite,Turquoise,Langbeinite,Cinnabar,Stibnite,Clay,Shale,Chert,Sandstone,Mica,Tyuyamunite,Uranophane,Montroseite,Greenockite,Pitchblende,Umohoite,Zippeite,Marl,Jasper,Petrified Wood,Dolomite,Aurichalcite,Beudantite,Jarosite,Mimetite,Pyromorphite,Wurtzite,Bertrandite,Granite,Calcite,Colemanite,Ulexite,Grossularite,Wollastonite,Anhydrite,Sulfur,Barite,Psilomelane,Iron,Lead,Ferrimolybdite,Melaconite,Mercury,Metacinnabar,Diatomite,Chlorargyrite,Electrum,Embolite,Melanterite,Owyheeite,Pyrargyrite,Pyrrhotite,Stromeyerite,Bromyrite,Wulfenite,Iodyrite,Hydrozincite,Zincite,Marmatite,Hemimorphite,Opal,Jamesonite,Delafossite,Selenite,Gypsum,Hectorite,Rhyolite,Goethite,Goslarite,Sauconite,Chlorite,Chromite,Garnierite,Ilmenite,Sepiolite,Spinel,Powellite,Pyrolusite,Tremolite,Diabase,Kyanite,Rutile,Zircon,Martite,Bismuthinite,Pentlandite,Platinum,Andalusite,Ankerite,Minnesotaite,Pascoite,Feldspar,Muscovite,Marble,Roscoelite,Antlerite,Allophane,Kaolin,Vermiculite,Collophane,Franklinite,Willemite,Rhodonite,Tephroite,Schefferite,Fowlerite,Borax,Kernite,Tincalconite,Slate,Gneiss,Chrysotile,Trona,Liebigite,Graphite,Talc,Peat,Silt,Manganese Ox-Hydrous,Telluride,Cassiterite,Tuff,Wad,Wolframite,Boltwoodite,Cuprodescloizite,Latite,Witherite,Iridium,Illite,Kaolinite,Pyrophyllite,Leucoxene,Schist,Cubanite,Azurite,Arsenopyrite,Argentojarosite,Chalcophanite,Teallite,Sericite,Naumannite,Bromargyrite,Tourmaline,Dickite,Manganite,Aurorite,Montmorillonite,Scorodite,Garnet,Diopside,Silica,Adularia,Pearceite,Calomel,Eglestonite,Livingstonite"
Uzbekistan,"Bismutite,Chalcopyrite,Galena,Gold,Molybdenite,Pyrite,Scheelite,Sphalerite"
South Africa,"Chalcopyrite,Chromite,Cubanite,Graphite,Millerite,Pentlandite,Pyrite,Pyrrhotite,Sperrylite,Galena,Sphalerite,Uraninite,Apatite,Bornite,Bravoite,Chalcocite,Chrysocolla,Copper,Covellite,Cuprite,Ilmenite,Linnaeite,Magnetite,Malachite,Marcasite,Tetrahedrite,Gold,Hematite,Molybdenite,Iridium,Silver,Jacobsite,Manganite,Todorokite,Bixbyite,Electrum,Platinum,Fluorite,Monazite,Braunite,Hausmannite,Stibnite"
Saudi Arabia,"Goethite,Hematite"
Russia,"Apatite,Chalcopyrite,Galena,Gold,Pyrite,Scheelite,Sphalerite,Tetrahedrite"
Zimbabwe,"Gold,Cassiterite"
Germany,"Galena,Pyrite,Sphalerite"
Egypt,"Clay,Gypsum,Cliachite,Gibbsite,Hematite,Siderite,Calcite,Collophane,Dolomite"
Argentina,"Alabandite,Antimony,Argentite,Boulangerite,Bournonite,Breithauptite,Cubanite,Gold,Hematite,Magnetite,Marcasite,Molybdenite,Polybasite,Pyrargyrite,Pyrite,Pyrrhotite,Silver"
Algeria,"Goethite,Hematite,Siderite"
