state,elements
North-West in South Africa,"Gold,Rhodium,Palladium,Platinum,PGE"
Tacna in Peru,"Copper,Molybdenum,Silver"
Bahia in Brazil,"Titanium,Metal,Copper,Gold"
Alabama in United States,"Kyanite,Zirconium,Titanium,Metal,Iron,Aluminum,Graphite,Fullers Earth,Zeolites,Bloating Material"
Baja California in Mexico,"Copper"
Cusco in Peru,"Copper"
Liaoning in China,"Manganese,Iron"
nan in Egypt,"Clay,Gypsum-Anhydrite,Phosphorus-Phosphates"
Nei Mongol* (Inner Mongolia) in China,"Iron"
nan in France,"Gold,Silver,Bismuth,Fluorine-Fluorite"
Gifu in Japan,"Zinc,Lead"
Bursa in Turkey,"Tungsten"
nan in Turkey,"Chromium,Iron"
Tachira in Venezuela,"Copper"
Wisconsin in United States,"Iron,Zinc"
nan in Guinea,"Aluminum"
nan in Senegal,"Phosphorus-Phosphates"
nan in Kazakhstan,"Boron-Borates,Gold"
nan in Suriname,"Aluminum"
Northern Territory* in Australia,"Aluminum,Iron"
Coahuila De Zaragoza in Mexico,"Iron,Fluorine-Fluorite"
nan in Madagascar,"Chromium"
Alaska in United States,"Gold,Zinc,Silver,Lead,Copper,Platinum"
Amazonas in Brazil,"Tin"
Surigao* in Philippines,"Cobalt,Nickel"
Baden-Wurttemberg in Germany,"Barium-Barite,Fluorine-Fluorite"
Lambayeque, Piura in Peru,"Phosphorus-Phosphates"
Negros Oriental in Philippines,"Copper"
British Columbia in Canada,"Copper,Gold,Silver,Platinum"
San Luis Potosi in Mexico,"Fluorine-Fluorite"
nan in South Africa,"Platinum,Copper,Nickel,Gold,Osmium,Iridium,Rhodium,Ruthenium,Vermiculite,Iron,Uranium,Diamond,PGE,Palladium,Phosphorus-Phosphates,Chromium,Fluorine-Fluorite,Asbestos,Sulfur-Pyrite,Silver,Antimony"
Artvin in Turkey,"Copper"
Nimba in Liberia,"Iron"
Illinois in United States,"Zinc,Lead,Fluorine-Fluorite"
