state,gangues
Tacna in Peru,"Pyrite,Quartz,Tourmaline"
Bahia in Brazil,"Forsterite,Hornblende,Ilmenite,Magnetite,Phlogopite,Albite,Goethite,Gypsum,Hematite,Jarosite,Melanterite,Quartz"
Baja California in Mexico,"Albite,Calcite,Chlorite,Epidote,Feldspar,Quartz,Sericite"
Cusco in Peru,"Calcite,Diopside,Dolomite,Epidote,Grossularite,Magnetite,Quartz,Siderite,Tremolite,Wollastonite"
Liaoning in China,"Calcite,Dolomite,Quartz,Sericite"
nan in Egypt,"Apatite,Chlorite,Muscovite,Hematite,Quartz,Siderite"
nan in France,"Quartz"
Gifu in Japan,"Epidote,Garnet,Wollastonite"
Wisconsin in United States,"Quartz,Calcite,Barite,Marcasite,Pyrite,Chert"
nan in Kazakhstan,"Clay,Gypsum,Quartz,Tourmaline"
nan in Suriname,"Hematite,Kaolinite,Zircon"
Coahuila De Zaragoza in Mexico,"Apatite,Calcite,Chalcedony"
Alaska in United States,"Albite,Calcite,Magnetite,Pyrite,Pyrrhotite,Quartz,Rutile"
Negros Oriental in Philippines,"Galena,Magnetite,Quartz,Sphalerite"
British Columbia in Canada,"Biotite,Fluorite,Magnetite,Scapolite"
San Luis Potosi in Mexico,"Calcite,Chalcedony,Iron,Quartz"
nan in South Africa,"Calcite,Chondrodite,Diabase,Dolomite,Mica,Olivine,Phlogopite,Epidote,Prehnite,Sericite,Zoisite,Garnet,Ilmenite,Cassiterite,Graphite,Rutile,Diopside,Anorthosite,Chalcopyrite,Pentlandite,Pyrrhotite"
Nimba in Liberia,"Quartz"
Illinois in United States,"Dolomite,Quartz"
New York in United States,"Anhydrite,Chlorite,Dolomite,Gypsum,Illite,Serpentine,Talc,Diopside,Quartz,Tremolite,Calcite,Barite,Ilvaite,Grossularite,Garnet,Phlogopite,Biotite,Pyrite,Mica,Chalcopyrite,Molybdenite,Prehnite,Sphalerite,Fluorite,Feldspar,Hornblende,Pyroxene,Sillimanite"
Florida in United States,"Dolomite,Montmorillonite,Quartz"
nan in Poland,"Calcite,Dolomite"
Murcia in Spain,"Albite,Calcite,Quartz"
Durango in Mexico,"Apatite,Augite"
Madhya Pradesh in India,"Quartz"
Cebu in Philippines,"Chlorite,Epidote,Gypsum,Kaolinite,Montmorillonite,Pyrophyllite,Quartz"
nan in Uzbekistan,"Ankerite,Calcite,Feldspar,Mica,Quartz,Tourmaline"
Sao Paulo in Brazil,"Calcite,Dolomite,Magnetite,Olivine,Phlogopite,Pyroxene,Serpentine,Sphene"
nan in Namibia,"Apatite,Sphene,Torbernite,Zircon,Dolomite,Quartz"
Granma in Cuba,"Hematite,Jasper,Zeolite,Calcite"
nan in Ireland,"Barite,Boulangerite,Bournonite,Calcite,Dolomite,Pyrrhotite,Quartz,Albite,Chlorite,Geocronite,Marcasite,Millerite,Pyrite,Siegenite"
Yunnan in China,"Calcite,Chlorite,Dolomite,Pyrite,Quartz"
South Dakota in United States,"Magnetite,Marcasite,Pyrite,Pyrrhotite,Specularite"
nan in Germany,"Calcite,Quartz"
Pasco in Peru,"Calcite"
Minnesota in United States,"Chert,Calcite"
Apurimac in Peru,"Actinolite,Calcite,Dolomite,Epidote,Marcasite,Pyrite,Pyrrhotite,Quartz,Siderite,Wollastonite"
Western Australia in Australia,"Andalusite,Biotite,Feldspar,Muscovite,Quartz,Enstatite,Leucite,Olivine,Phlogopite,Ankerite,Dolomite,Magnetite,Sericite,Anatase,Goethite,Halloysite,Hematite"
Colorado in United States,"Barite,Pyrite,Rhodochrosite,Quartz,Limonite,Limestone,Dolomite,Magnetite,Fluorite,Galena,Hematite,Huebnerite,Sericite,Sphalerite,Topaz,Calcite,Ankerite,Kaolinite,Siderite"
Sonora in Mexico,"Alunite,Quartz,Tourmaline"
Miyagi in Japan,"Quartz"
Huancavelica in Peru,"Actinolite,Barite,Calcite,Diopside,Epidote,Garnet,Magnetite,Quartz,Scapolite,Siderite"
nan in Italy,"Barite,Boulangerite,Dolomite,Marcasite,Pyrite,Quartz"
Jiangxi [Kiangsi] in China,"Calcite,Dolomite,Pyrite"
North Carolina in United States,"Phlogopite,Pyrite,Chlorite,Quartz,Sericite"
Santiago De Cuba in Cuba,"Jasper"
Moquegua in Peru,"Calcite,Pyrite,Quartz"
Texas in United States,"Barite,Calcite,Goethite,Dolomite,Quartz,Celestite"
Idaho in United States,"Pyrite,Quartz,Siderite,Pyrrhotite,Calcite,Limonite,Ankerite,Barite,Magnetite,Specularite,Marcasite,Sericite,Chlorite,Biotite,Arsenopyrite,Hematite"
Missouri in United States,"Barite,Calcite,Fluorite,Pyrite,Quartz"
Arizona in United States,"Pyrite,Quartz,Aragonite,Barite,Calcite,Dolomite,Gypsum,Plagioclase,Siderite,Galena,Apatite,Chalcedony,Ilsemannite,Jarosite,Limonite,Opal,Wad,Serpentine,Goethite,Hematite,Magnetite,Amethyst,Chrysocolla,Fluorite,Malachite,Ankerite,Chlorite,Jasper,Sericite,Clay,Diopside,Garnet"
nan in Guyana,"Clay,Kaolin"
Para in Brazil,"Chlorite,Hematite,Ilmenite,Magnetite,Mica,Quartz"
Montana in United States,"Calcite,Pyrite,Quartz,Barite,Rhodochrosite"
La Paz in Bolivia,"Quartz,Apatite,Fluorite,Muscovite,Pyrite,Pyrrhotite"
Jujuy in Argentina,"Actinolite,Calcite,Chlorite,Diopside,Epidote,Garnet,Pyroxene,Quartz,Rhodonite,Scapolite,Tourmaline,Vesuvianite,Wollastonite"
Arkansas in United States,"Quartz,Dickite,Limonite,Goethite,Hematite,Siderite,Barite,Opal,Calcite"
nan in Chile,"Anhydrite,Biotite,Gypsum,Pyrite,Specularite,Tourmaline,Ankerite,Barite,Calcite,Chlorite,Hematite,Limonite,Magnetite,Quartz,Rhodochrosite,Sericite,Jarosite,Natroalunite,Anglesite,Blodite,Epsomite,Halite,Mirabilite,Soda Niter,Wulfenite,Plagioclase,Dolomite,Epidote,Orthoclase"
Rajasthan in India,"Dolomite,Gypsum,Quartz,Andalusite,Phyllite"
New South Wales in Australia,"Apatite,Calcite,Chalcopyrite,Feldspar,Fluorite,Garnet,Hedenbergite,Pyrrhotite,Quartz,Rhodonite,Biotite,Chert,Chlorite,Dolomite,Muscovite,Pyrite,Siderite,Talc"
