state,ores
North-West in South Africa,"Chalcopyrite,Chromite,Cubanite,Graphite,Millerite,Pentlandite,Pyrite,Pyrrhotite,Sperrylite"
Tacna in Peru,"Bornite,Chalcocite,Chalcopyrite,Molybdenite,Sphalerite"
Bahia in Brazil,"Ilmenite,Bismuthinite,Bornite,Chalcocite,Chalcopyrite,Chrysocolla,Covellite,Cubanite,Digenite,Malachite,Millerite,Pentlandite,Pyrite,Pyrrhotite,Sphalerite,Talc,Tetrahedrite,Galena,Gold"
Alabama in United States,"Ilmenite,Kyanite,Rutile,Zircon"
Baja California in Mexico,"Bornite,Chalcocite,Chalcopyrite,Covellite,Cuprite,Digenite,Gold,Molybdenite,Pyrite"
Cusco in Peru,"Bornite,Chalcopyrite,Copper,Covellite,Cuprite,Digenite,Molybdenite,Tenorite"
Liaoning in China,"Braunite,Manganite,Rhodochrosite"
nan in Egypt,"Clay,Gypsum,Calcite,Collophane,Dolomite"
Nei Mongol* (Inner Mongolia) in China,"Bastnaesite,Magnetite,Monazite"
nan in France,"Chalcopyrite,Pyrite,Pyrrhotite"
Gifu in Japan,"Bornite,Chalcopyrite,Galena,Hematite,Magnetite,Molybdenite,Pyrite,Pyrrhotite,Sphalerite"
Wisconsin in United States,"Hematite,Magnetite,Barite,Galena,Marcasite,Pyrite,Sphalerite"
nan in Guinea,"Bauxite"
nan in Kazakhstan,"Anhydrite,Colemanite,Inyoite,Sylvite,Ulexite,Chalcopyrite,Cobaltite,Galena,Gold,Marcasite,Molybdenite,Pyrite,Pyrrhotite,Scheelite,Tetradymite"
nan in Suriname,"Bauxite,Boehmite,Gibbsite"
Northern Territory* in Australia,"Bauxite,Boehmite,Gibbsite"
Coahuila De Zaragoza in Mexico,"Goethite,Hematite,Magnetite"
Alaska in United States,"Chalcopyrite,Galena,Gold,Molybdenite,Orpiment,Realgar,Sphalerite,Tetrahedrite,Bornite,Chalcocite,Covellite,Enargite,Tennantite,Chromite,Cinnabar,Iridium,Platinum"
Amazonas in Brazil,"Cassiterite,Columbite,Pyrochlore,Tantalite,Xenotime,Zircon"
